time,sensor.power_load_no_var_loads,sensor.power_photovoltaics
2025-06-01 00:00:00,579.2663454146038,0.0
2025-06-01 00:30:00,507.62439099943987,0.0
2025-06-01 01:00:00,356.9599131240956,0.0
2025-06-01 01:30:00,295.7266961232766,0.0
2025-06-01 02:00:00,414.83139521872215,0.0
2025-06-01 02:30:00,742.0867163209765,0.0
2025-06-01 03:00:00,458.17554424355995,0.0
2025-06-01 03:30:00,438.7239687724229,0.0
2025-06-01 04:00:00,396.01312399233973,56.621
2025-06-01 04:30:00,319.91410365939225,127.11107407407408
2025-06-01 05:00:00,537.8906324116527,243.53160714285715
2025-06-01 05:30:00,602.2166447835046,250.27510714285717
2025-06-01 06:00:00,937.4951506388272,512.8155666666667
2025-06-01 06:30:00,1057.0548013739212,848.6438999999999
2025-06-01 07:00:00,849.2946826048817,756.4973000000001
2025-06-01 07:30:00,701.1623769871354,736.576275862069
2025-06-01 08:00:00,946.5168681058772,1212.0430333333331
2025-06-01 08:30:00,1156.0954066071806,1130.6564
2025-06-01 09:00:00,903.3910754773094,1133.8188333333335
2025-06-01 09:30:00,1082.8308501833271,1619.1447999999998
2025-06-01 10:00:00,983.3005701646034,1361.5272333333337
2025-06-01 10:30:00,1018.0344220444222,1347.7025172413794
2025-06-01 11:00:00,943.425080309083,2638.5606666666667
2025-06-01 11:30:00,966.6954149048854,2867.3676666666665
2025-06-01 12:00:00,2084.965182553543,2358.8121
2025-06-01 12:30:00,1837.9438049527128,1128.9671
2025-06-01 13:00:00,1972.7072684439568,2897.549833333333
2025-06-01 13:30:00,1965.0385103678225,3029.8848666666668
2025-06-01 14:00:00,868.1198395762775,2961.9832
2025-06-01 14:30:00,785.4925895497562,1996.0701
2025-06-01 15:00:00,825.8371419287696,2100.5387666666666
2025-06-01 15:30:00,899.179195178928,3201.1648333333337
2025-06-01 16:00:00,871.9652178811566,1601.3495333333333
2025-06-01 16:30:00,761.0214996035127,952.1409655172414
2025-06-01 17:00:00,752.7769138688477,1471.6783666666668
2025-06-01 17:30:00,777.9507399272925,748.218962962963
2025-06-01 18:00:00,2543.0840458455455,642.5134285714286
2025-06-01 18:30:00,2513.448482075262,176.51215789473682
2025-06-01 19:00:00,2486.784656355321,0.0
2025-06-01 19:30:00,2312.5212505414424,0.0
2025-06-01 20:00:00,2562.153912875633,0.0
2025-06-01 20:30:00,2437.5791567475744,0.0
2025-06-01 21:00:00,2610.6536073392967,0.0
2025-06-01 21:30:00,2474.4291207081146,0.0
2025-06-01 22:00:00,2688.429176882441,0.0
2025-06-01 22:30:00,2566.3386678467486,0.0
2025-06-01 23:00:00,2494.7394783023888,0.0
2025-06-01 23:30:00,2456.2428782833476,0.0
2025-06-02 00:00:00,587.6798804078362,0.0
2025-06-02 00:30:00,235.97395668977,0.0
2025-06-02 01:00:00,259.8112936334882,0.0
2025-06-02 01:30:00,367.506024800163,0.0
2025-06-02 02:00:00,420.22848253074676,0.0
2025-06-02 02:30:00,482.3838480630271,0.0
2025-06-02 03:00:00,510.58952201022066,0.0
2025-06-02 03:30:00,383.80422968446663,0.0
2025-06-02 04:00:00,477.0126895255943,0.0
2025-06-02 04:30:00,457.3742818974753,0.0
2025-06-02 05:00:00,572.1887175522822,63.173
2025-06-02 05:30:00,338.649330142134,81.59700000000001
2025-06-02 06:00:00,536.7940565005223,139.41096296296297
2025-06-02 06:30:00,505.0457288770551,182.66677777777772
2025-06-02 07:00:00,642.4546043592662,303.0212857142857
2025-06-02 07:30:00,795.0917867376492,504.9988
2025-06-02 08:00:00,462.81395839765594,609.5857586206897
2025-06-02 08:30:00,536.7009732103091,787.5247999999999
2025-06-02 09:00:00,682.7031600855901,1113.5253333333335
2025-06-02 09:30:00,556.7190613226624,687.0443333333334
2025-06-02 10:00:00,457.54513855591875,449.46656666666667
2025-06-02 10:30:00,446.311890252717,501.4637
2025-06-02 11:00:00,401.3357430809852,1061.3248
2025-06-02 11:30:00,588.5672605652926,1426.1764666666668
2025-06-02 12:00:00,463.96166276060023,1588.2425333333333
2025-06-02 12:30:00,561.1864440024281,1497.6402333333333
2025-06-02 13:00:00,638.0210091767407,1667.0886
2025-06-02 13:30:00,647.0988068362672,1641.0866
2025-06-02 14:00:00,694.0707410769107,1753.2003
2025-06-02 14:30:00,508.78766985460237,1485.1449666666667
2025-06-02 15:00:00,568.7881022704667,660.7091333333334
2025-06-02 15:30:00,619.7167241008344,521.4647241379311
2025-06-02 16:00:00,534.1212304663142,385.0079
2025-06-02 16:30:00,302.6915366096774,335.676
2025-06-02 17:00:00,1917.6648209809453,177.85007142857145
2025-06-02 17:30:00,2185.946351679153,147.18096428571428
2025-06-02 18:00:00,2048.760809112913,54.06172727272727
2025-06-02 18:30:00,1996.8714648179555,25.072000000000003
2025-06-02 19:00:00,2023.6824333421819,0.0
2025-06-02 19:30:00,1997.7214522189793,0.0
2025-06-02 20:00:00,2143.2059616322135,0.0
2025-06-02 20:30:00,1795.170138706998,0.0
2025-06-02 21:00:00,1715.1384605692258,0.0
2025-06-02 21:30:00,1901.8751143917436,0.0
2025-06-02 22:00:00,1943.1885529691792,0.0
2025-06-02 22:30:00,1888.1187703104029,0.0
2025-06-02 23:00:00,1966.3212759418063,0.0
2025-06-02 23:30:00,1986.5794677036713,0.0
2025-06-03 00:00:00,507.3026608066631,0.0
2025-06-03 00:30:00,395.85326534579616,0.0
2025-06-03 01:00:00,495.2873888473915,0.0
2025-06-03 01:30:00,356.70577667730447,0.0
2025-06-03 02:00:00,447.53574194207073,0.0
2025-06-03 02:30:00,486.01673624803976,0.0
2025-06-03 03:00:00,94.43809349688604,0.0
2025-06-03 03:30:00,337.19056370639544,0.0
2025-06-03 04:00:00,536.6470524601181,0.0
2025-06-03 04:30:00,406.6737648805621,0.0
2025-06-03 05:00:00,320.56322632339067,45.9936
